[0.000000] (-) TimerEvent: {}
[0.000080] (-) JobUnselected: {'identifier': 'aimer'}
[0.000108] (-) JobUnselected: {'identifier': 'armor_pointer'}
[0.000129] (-) JobUnselected: {'identifier': 'autoaim_msgs'}
[0.000147] (-) JobUnselected: {'identifier': 'cboard'}
[0.000164] (-) JobUnselected: {'identifier': 'detected'}
[0.000181] (-) JobUnselected: {'identifier': 'dm_imu'}
[0.000198] (-) JobUnselected: {'identifier': 'filter_lib'}
[0.000213] (-) JobUnselected: {'identifier': 'gimbal'}
[0.000229] (-) JobUnselected: {'identifier': 'hikvision'}
[0.000245] (-) JobUnselected: {'identifier': 'launch_node'}
[0.000260] (-) JobUnselected: {'identifier': 'motion_model'}
[0.000276] (-) JobUnselected: {'identifier': 'pipeline'}
[0.000292] (-) JobUnselected: {'identifier': 'planner'}
[0.000307] (-) JobUnselected: {'identifier': 'predictor'}
[0.000323] (-) JobUnselected: {'identifier': 'serial'}
[0.000338] (-) JobUnselected: {'identifier': 'solver'}
[0.000354] (-) JobUnselected: {'identifier': 'tracker'}
[0.000370] (-) JobUnselected: {'identifier': 'utils'}
[0.000386] (-) EventReactorShutdown: {}
