__time,/pnp_solver/targets/header/stamp/nanosec,/pnp_solver/targets/header/stamp/sec,/pnp_solver/targets/targets[0]/corners[0]/x,/pnp_solver/targets/targets[0]/corners[0]/y,/pnp_solver/targets/targets[0]/corners[0]/z,/pnp_solver/targets/targets[0]/corners[1]/x,/pnp_solver/targets/targets[0]/corners[1]/y,/pnp_solver/targets/targets[0]/corners[1]/z,/pnp_solver/targets/targets[0]/corners[2]/x,/pnp_solver/targets/targets[0]/corners[2]/y,/pnp_solver/targets/targets[0]/corners[2]/z,/pnp_solver/targets/targets[0]/corners[3]/x,/pnp_solver/targets/targets[0]/corners[3]/y,/pnp_solver/targets/targets[0]/corners[3]/z,/pnp_solver/targets/targets[0]/distance,/pnp_solver/targets/targets[0]/header/stamp/nanosec,/pnp_solver/targets/targets[0]/header/stamp/sec,/pnp_solver/targets/targets[0]/pitch,/pnp_solver/targets/targets[0]/position/x,/pnp_solver/targets/targets[0]/position/y,/pnp_solver/targets/targets[0]/position/z,/pnp_solver/targets/targets[0]/yaw
1751357948.553968,553088878.000000000,1751357948.000000000,871.386596680,685.318664551,0.000000000,1002.174438477,685.638061523,0.000000000,1002.598876953,813.406005859,0.000000000,871.710266113,812.953002930,0.000000000,0.572983052,553088878.000000000,1751357948.000000000,-0.102625215,0.561535384,-0.097671737,-0.058699146,-0.172213993
1751357948.564489,563672490.000000000,1751357948.000000000,856.332580566,685.291442871,0.000000000,996.124511719,685.620727539,0.000000000,996.494567871,797.271728516,0.000000000,856.589111328,796.800231934,0.000000000,0.536187436,563672490.000000000,1751357948.000000000,-0.099061252,0.526203109,-0.088278876,-0.053028378,-0.166217896
1751357948.579268,578762837.000000000,1751357948.000000000,852.268432617,652.200317383,0.000000000,979.912292480,652.441162109,0.000000000,980.198791504,749.907714844,0.000000000,852.449401855,749.527526855,0.000000000,0.584551202,578762837.000000000,1751357948.000000000,-0.077434563,0.575370881,-0.092744026,-0.045219097,-0.159815332
1751357948.597500,596353606.000000000,1751357948.000000000,828.186035156,636.140136719,0.000000000,964.770385742,636.352478027,0.000000000,965.030395508,733.765991211,0.000000000,828.329895020,733.405822754,0.000000000,0.543988066,596353606.000000000,1751357948.000000000,-0.069340937,0.536689162,-0.080406045,-0.037690290,-0.148712582
1751357948.608343,607434601.000000000,1751357948.000000000,828.154846191,602.091003418,0.000000000,964.708068848,602.253112793,0.000000000,964.989135742,720.697387695,0.000000000,828.305541992,720.356201172,0.000000000,0.543264423,607434601.000000000,1751357948.000000000,-0.056265119,0.536460228,-0.080070425,-0.030550606,-0.148163183
1751357948.628949,627810018.000000000,1751357948.000000000,828.143920898,587.074096680,0.000000000,964.685485840,587.214782715,0.000000000,964.892700195,687.542602539,0.000000000,828.250915527,687.251708984,0.000000000,0.542764476,627810018.000000000,1751357948.000000000,-0.043125437,0.536362102,-0.079745900,-0.023399620,-0.147597983
1751357948.642545,641597692.000000000,1751357948.000000000,828.132385254,568.055969238,0.000000000,964.661254883,568.170288086,0.000000000,964.858337402,674.488769531,0.000000000,828.232177734,674.218078613,0.000000000,0.542417434,641597692.000000000,1751357948.000000000,-0.034264273,0.536232912,-0.079521370,-0.018581839,-0.147223346
1751357948.654880,654072924.000000000,1751357948.000000000,828.125000000,553.043762207,0.000000000,964.645568848,553.137756348,0.000000000,964.816650391,657.424133301,0.000000000,828.209960938,657.179748535,0.000000000,0.542122968,654072924.000000000,1751357948.000000000,-0.025406627,0.536113307,-0.079298037,-0.013771987,-0.146848083
1751357948.703595,702873190.000000000,1751357948.000000000,848.151550293,511.020385742,0.000000000,964.617248535,511.055572510,0.000000000,964.739074707,620.303344727,0.000000000,848.218383789,620.134704590,0.000000000,0.635688936,702873190.000000000,1751357948.000000000,-0.002802067,0.628406355,-0.095918808,-0.001781236,-0.151469079
1751357948.732662,731659768.000000000,1751357948.000000000,848.148742676,491.006866455,0.000000000,964.611816406,491.019165039,0.000000000,964.716247559,607.266540527,0.000000000,848.205444336,607.114868164,0.000000000,0.633064646,731659768.000000000,1751357948.000000000,0.006629629,0.625829741,-0.095331583,0.004196941,-0.151166235
1751357948.746766,745854623.000000000,1751357948.000000000,852.157531738,488.005096436,0.000000000,979.709045410,488.015350342,0.000000000,979.797790527,594.255371094,0.000000000,852.204162598,594.100646973,0.000000000,0.581156354,745854623.000000000,1751357948.000000000,0.010769990,0.574050321,-0.090375326,0.006258908,-0.156152805
1751357948.755534,754762579.000000000,1751357948.000000000,852.157348633,476.997589111,0.000000000,979.708679199,476.993408203,0.000000000,979.791625977,590.244445801,0.000000000,852.200805664,590.095458984,0.000000000,0.581080235,754762579.000000000,1751357948.000000000,0.015005473,0.573959245,-0.090260451,0.008719030,-0.155981874
1751357948.765522,764797866.000000000,1751357948.000000000,852.157470703,472.994842529,0.000000000,979.708923340,472.985443115,0.000000000,979.773071289,577.210388184,0.000000000,852.190856934,577.079956055,0.000000000,0.581032266,764797866.000000000,1751357948.000000000,0.019641316,0.573882361,-0.090140238,0.011411470,-0.155798009
1751357948.774422,773476563.000000000,1751357948.000000000,852.158508301,461.987243652,0.000000000,979.710815430,461.963409424,0.000000000,979.767883301,573.200317383,0.000000000,852.188049316,573.075500488,0.000000000,0.580977238,773476563.000000000,1751357948.000000000,0.023867271,0.573790624,-0.090025530,0.013864983,-0.155627414
1751357948.786827,786033183.000000000,1751357948.000000000,856.171936035,441.971710205,0.000000000,995.834106445,441.914001465,0.000000000,995.869750977,560.186828613,0.000000000,856.189880371,560.064392090,0.000000000,0.531482117,786033183.000000000,1751357948.000000000,0.033112256,0.524342104,-0.085012686,0.017595298,-0.160733447
1751357948.800586,799830696.000000000,1751357948.000000000,876.224548340,445.969512939,0.000000000,995.832031250,445.923187256,0.000000000,995.866333008,557.179077148,0.000000000,876.244140625,557.073547363,0.000000000,0.621730164,799830696.000000000,1751357948.000000000,0.033389295,0.612811137,-0.102849250,0.020755217,-0.166282191
1751357948.808683,807906657.000000000,1751357948.000000000,871.210083008,445.970886230,0.000000000,1001.878295898,445.920196533,0.000000000,1001.913208008,557.185791016,0.000000000,871.229125977,557.070373535,0.000000000,0.569158135,807906657.000000000,1751357948.000000000,0.033220033,0.560972229,-0.094296367,0.018903917,-0.166537634
1751357948.831009,830076020.000000000,1751357948.000000000,871.217163086,425.952484131,0.000000000,1001.891235352,425.871765137,0.000000000,1001.899780273,544.152038574,0.000000000,871.221679688,544.056518555,0.000000000,0.569116694,830076020.000000000,1751357948.000000000,0.042474790,0.560768532,-0.094055946,0.024165771,-0.166180041
1751357948.846492,845457953.000000000,1751357948.000000000,871.217163086,425.952484131,0.000000000,1001.891235352,425.871765137,0.000000000,1001.899780273,544.152038574,0.000000000,871.221679688,544.056518555,0.000000000,0.569116694,845457953.000000000,1751357948.000000000,0.042466620,0.560768761,-0.094055775,0.024161126,-0.166179678
1751357948.860677,859977769.000000000,1751357948.000000000,871.217163086,425.952484131,0.000000000,1001.891235352,425.871765137,0.000000000,1001.899780273,544.152038574,0.000000000,871.221679688,544.056518555,0.000000000,0.569116694,859977769.000000000,1751357948.000000000,0.042497585,0.560767963,-0.094056004,0.024178732,-0.166180307
1751357948.869447,868708453.000000000,1751357948.000000000,876.231872559,425.950256348,0.000000000,1016.005920410,425.860443115,0.000000000,1016.014709473,544.165405273,0.000000000,876.236511230,544.059143066,0.000000000,0.533017144,868708453.000000000,1751357948.000000000,0.042534133,0.524732008,-0.090818941,0.022664514,-0.171379015
1751357948.878329,877456769.000000000,1751357948.000000000,895.294494629,425.941192627,0.000000000,1018.023010254,425.858795166,0.000000000,1018.031860352,544.167358398,0.000000000,895.299743652,544.069885254,0.000000000,0.608289281,877456769.000000000,1751357948.000000000,0.043136273,0.598208762,-0.107107246,0.026231121,-0.177169307
1751357948.889553,888650554.000000000,1751357948.000000000,895.294494629,425.941192627,0.000000000,1018.023010254,425.858795166,0.000000000,1018.031860352,544.167358398,0.000000000,895.299743652,544.069885254,0.000000000,0.608289281,888650554.000000000,1751357948.000000000,0.043138528,0.598207586,-0.107113479,0.026232492,-0.177179744
1751357948.899319,898598019.000000000,1751357948.000000000,895.294494629,425.941192627,0.000000000,1018.023010254,425.858795166,0.000000000,1018.031860352,544.167358398,0.000000000,895.299743652,544.069885254,0.000000000,0.608289281,898598019.000000000,1751357948.000000000,0.043138528,0.598207586,-0.107113479,0.026232492,-0.177179744
1751357948.908934,908193370.000000000,1751357948.000000000,895.294494629,425.941192627,0.000000000,1018.023010254,425.858795166,0.000000000,1018.031860352,544.167358398,0.000000000,895.299743652,544.069885254,0.000000000,0.608289281,908193370.000000000,1751357948.000000000,0.043138382,0.598207527,-0.107113831,0.026232403,-0.177180331
1751357948.921628,920927097.000000000,1751357948.000000000,895.294494629,425.941192627,0.000000000,1018.023010254,425.858795166,0.000000000,1018.031860352,544.167358398,0.000000000,895.299743652,544.069885254,0.000000000,0.608289281,920927097.000000000,1751357948.000000000,0.043150623,0.598207345,-0.107113026,0.026239842,-0.177179080
1751357948.938618,937882436.000000000,1751357948.000000000,891.280334473,425.943176270,0.000000000,1022.057678223,425.855468750,0.000000000,1022.066589355,544.171325684,0.000000000,891.285461426,544.067504883,0.000000000,0.570851289,937882436.000000000,1751357948.000000000,0.042917121,0.561395821,-0.100519244,0.024491700,-0.177174883
1751357948.952441,951658343.000000000,1751357948.000000000,891.280334473,425.943176270,0.000000000,1022.057678223,425.855468750,0.000000000,1022.066589355,544.171325684,0.000000000,891.285461426,544.067504883,0.000000000,0.570851289,951658343.000000000,1751357948.000000000,0.042916204,0.561397984,-0.100507296,0.024491177,-0.177153592
1751357948.964257,963432685.000000000,1751357948.000000000,891.280334473,425.943176270,0.000000000,1022.057678223,425.855468750,0.000000000,1022.066589355,544.171325684,0.000000000,891.285461426,544.067504883,0.000000000,0.570851289,963432685.000000000,1751357948.000000000,0.042916204,0.561397984,-0.100507296,0.024491177,-0.177153592
1751357948.978256,977569800.000000000,1751357948.000000000,891.280334473,425.943176270,0.000000000,1022.057678223,425.855468750,0.000000000,1022.066589355,544.171325684,0.000000000,891.285461426,544.067504883,0.000000000,0.570851289,977569800.000000000,1751357948.000000000,0.042922163,0.561397833,-0.100507307,0.024494575,-0.177153658
1751357948.987459,986465548.000000000,1751357948.000000000,891.278015137,430.948822021,0.000000000,1022.053710938,430.869293213,0.000000000,1022.079467773,556.205993652,0.000000000,891.293151855,556.082397461,0.000000000,0.570854823,986465548.000000000,1751357948.000000000,0.038354600,0.561487151,-0.100629452,0.021889474,-0.177336840
1751357949.001341,582771.000000000,1751357949.000000000,891.278015137,430.948822021,0.000000000,1022.053710938,430.869293213,0.000000000,1022.079467773,556.205993652,0.000000000,891.293151855,556.082397461,0.000000000,0.570854823,582771.000000000,1751357949.000000000,0.038346368,0.561487335,-0.100629446,0.021884779,-0.177336772
1751357949.012779,11916432.000000000,1751357949.000000000,891.278015137,430.948822021,0.000000000,1022.053710938,430.869293213,0.000000000,1022.079467773,556.205993652,0.000000000,891.293151855,556.082397461,0.000000000,0.570854823,11916432.000000000,1751357949.000000000,0.038346368,0.561487335,-0.100629446,0.021884779,-0.177336772
1751357949.021116,20429302.000000000,1751357949.000000000,891.278015137,430.948822021,0.000000000,1022.053710938,430.869293213,0.000000000,1022.079467773,556.205993652,0.000000000,891.293151855,556.082397461,0.000000000,0.570854823,20429302.000000000,1751357949.000000000,0.038381479,0.561486548,-0.100629477,0.021904807,-0.177337070
1751357949.038217,37476950.000000000,1751357949.000000000,891.278015137,430.948822021,0.000000000,1022.053710938,430.869293213,0.000000000,1022.079467773,556.205993652,0.000000000,891.293151855,556.082397461,0.000000000,0.570854823,37476950.000000000,1751357949.000000000,0.038402335,0.561483876,-0.100641794,0.021916704,-0.177359150
1751357949.057120,56321192.000000000,1751357949.000000000,891.278015137,430.948822021,0.000000000,1022.053710938,430.869293213,0.000000000,1022.079467773,556.205993652,0.000000000,891.293151855,556.082397461,0.000000000,0.570854823,56321192.000000000,1751357949.000000000,0.038394209,0.561484047,-0.100641852,0.021912069,-0.177359197
1751357949.068444,67875510.000000000,1751357949.000000000,895.292114258,430.947021484,0.000000000,1038.199218750,430.856994629,0.000000000,1038.225585938,556.224914551,0.000000000,895.307617188,556.085266113,0.000000000,0.523446571,67875510.000000000,1751357949.000000000,0.038301980,0.514345344,-0.095087363,0.020044072,-0.182806703
1751357949.076753,76047596.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,76047596.000000000,1751357949.000000000,0.034077458,0.561583171,-0.100757234,0.019450435,-0.177527601
1751357949.090552,89752814.000000000,1751357949.000000000,895.294494629,425.941192627,0.000000000,1038.203247070,425.841949463,0.000000000,1038.230468750,560.237731934,0.000000000,895.310546875,560.090637207,0.000000000,0.523436997,89752814.000000000,1751357949.000000000,0.038760165,0.514328198,-0.095076666,0.020283358,-0.182792552
1751357949.098789,97984157.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,97984157.000000000,1751357949.000000000,0.034066633,0.561583464,-0.100756795,0.019444258,-0.177526753
1751357949.110273,109440581.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,109440581.000000000,1751357949.000000000,0.034066633,0.561583464,-0.100756795,0.019444258,-0.177526753
1751357949.120555,119745147.000000000,1751357949.000000000,895.287658691,441.959442139,0.000000000,1038.191528320,441.889648438,0.000000000,1038.230468750,560.237731934,0.000000000,895.310546875,560.090637207,0.000000000,0.523471384,119745147.000000000,1751357949.000000000,0.034063274,0.514433074,-0.095190659,0.017827642,-0.182970373
1751357949.154033,153194428.000000000,1751357949.000000000,895.294494629,425.941192627,0.000000000,1038.203247070,425.841949463,0.000000000,1038.230468750,560.237731934,0.000000000,895.310546875,560.090637207,0.000000000,0.523436997,153194428.000000000,1751357949.000000000,0.038712358,0.514329319,-0.095075937,0.020258353,-0.182790792
1751357949.182889,181944163.000000000,1751357949.000000000,895.294494629,425.941192627,0.000000000,1038.203247070,425.841949463,0.000000000,1038.230468750,560.237731934,0.000000000,895.310546875,560.090637207,0.000000000,0.523436997,181944163.000000000,1751357949.000000000,0.038700248,0.514329619,-0.095075664,0.020252019,-0.182790175
1751357949.191020,190324485.000000000,1751357949.000000000,891.280334473,425.943176270,0.000000000,1022.057678223,425.855468750,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.550261773,190324485.000000000,1751357949.000000000,0.038922860,0.541186696,-0.097183295,0.021412287,-0.177680698
1751357949.210899,209982162.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,209982162.000000000,1751357949.000000000,0.034016563,0.561584633,-0.100755783,0.019415691,-0.177524646
1751357949.230104,229401064.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,229401064.000000000,1751357949.000000000,0.034029199,0.561585490,-0.100749616,0.019422900,-0.177513742
1751357949.243573,242762041.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,242762041.000000000,1751357949.000000000,0.034006188,0.561586027,-0.100749155,0.019409772,-0.177512781
1751357949.252636,251797053.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,251797053.000000000,1751357949.000000000,0.034006188,0.561586027,-0.100749155,0.019409772,-0.177512781
1751357949.263003,262120049.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,262120049.000000000,1751357949.000000000,0.034029960,0.561585583,-0.100749018,0.019423334,-0.177512680
1751357949.271565,270794066.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,270794066.000000000,1751357949.000000000,0.034011392,0.561585987,-0.100748807,0.019412740,-0.177512192
1751357949.280539,279754841.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,279754841.000000000,1751357949.000000000,0.034011392,0.561585987,-0.100748807,0.019412740,-0.177512192
1751357949.291551,290748880.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,290748880.000000000,1751357949.000000000,0.033988017,0.561588746,-0.100735996,0.019399404,-0.177489238
1751357949.298629,297781454.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,297781454.000000000,1751357949.000000000,0.033988017,0.561588746,-0.100735996,0.019399404,-0.177489238
1751357949.310138,309373634.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,309373634.000000000,1751357949.000000000,0.033989082,0.561588666,-0.100736324,0.019400011,-0.177489827
1751357949.322610,321848510.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,321848510.000000000,1751357949.000000000,0.033985172,0.561588739,-0.100736347,0.019397781,-0.177489844
1751357949.334553,333851569.000000000,1751357949.000000000,891.273681641,441.960845947,0.000000000,1022.046325684,441.899200439,0.000000000,1022.084289551,560.217834473,0.000000000,891.296020508,560.087646484,0.000000000,0.570883507,333851569.000000000,1751357949.000000000,0.033985172,0.561588739,-0.100736347,0.019397781,-0.177489844
1751357949.343658,342801479.000000000,1751357949.000000000,891.272338867,445.965087891,0.000000000,1022.044128418,445.909912109,0.000000000,1022.101501465,573.257385254,0.000000000,891.306396484,573.105529785,0.000000000,0.570868728,342801479.000000000,1751357949.000000000,0.029523295,0.561634749,-0.100854116,0.016851426,-0.177678754
1751357949.354290,353263951.000000000,1751357949.000000000,891.272338867,445.965087891,0.000000000,1022.044128418,445.909912109,0.000000000,1022.101501465,573.257385254,0.000000000,891.306396484,573.105529785,0.000000000,0.570868728,353263951.000000000,1751357949.000000000,0.029549211,0.561634204,-0.100854679,0.016866214,-0.177679895
1751357949.367716,366776501.000000000,1751357949.000000000,891.272338867,445.965087891,0.000000000,1022.044128418,445.909912109,0.000000000,1022.101501465,573.257385254,0.000000000,891.306396484,573.105529785,0.000000000,0.570868728,366776501.000000000,1751357949.000000000,0.029565009,0.561633886,-0.100854943,0.016875229,-0.177680448
1751357949.375308,374418338.000000000,1751357949.000000000,891.272338867,445.965087891,0.000000000,1022.044128418,445.909912109,0.000000000,1022.101501465,573.257385254,0.000000000,891.306396484,573.105529785,0.000000000,0.570868728,374418338.000000000,1751357949.000000000,0.029565009,0.561633886,-0.100854943,0.016875229,-0.177680448
1751357949.387800,386901075.000000000,1751357949.000000000,891.272338867,445.965087891,0.000000000,1022.044128418,445.909912109,0.000000000,1022.101501465,573.257385254,0.000000000,891.306396484,573.105529785,0.000000000,0.570868728,386901075.000000000,1751357949.000000000,0.029558232,0.561635249,-0.100848001,0.016871362,-0.177668051
1751357949.401071,400266200.000000000,1751357949.000000000,891.272338867,445.965087891,0.000000000,1022.044128418,445.909912109,0.000000000,1022.101501465,573.257385254,0.000000000,891.306396484,573.105529785,0.000000000,0.570868728,400266200.000000000,1751357949.000000000,0.029560946,0.561637316,-0.100836230,0.016872910,-0.177647109
1751357949.411683,410858242.000000000,1751357949.000000000,891.272338867,445.965087891,0.000000000,1022.044128418,445.909912109,0.000000000,1022.101501465,573.257385254,0.000000000,891.306396484,573.105529785,0.000000000,0.570868728,410858242.000000000,1751357949.000000000,0.029560946,0.561637316,-0.100836230,0.016872910,-0.177647109
1751357949.422841,421915275.000000000,1751357949.000000000,891.272338867,445.965087891,0.000000000,1022.044128418,445.909912109,0.000000000,1022.101501465,573.257385254,0.000000000,891.306396484,573.105529785,0.000000000,0.570868728,421915275.000000000,1751357949.000000000,0.029551592,0.561636506,-0.100841636,0.016867573,-0.177656683
1751357949.430627,429735491.000000000,1751357949.000000000,891.272338867,445.965087891,0.000000000,1022.044128418,445.909912109,0.000000000,1022.101501465,573.257385254,0.000000000,891.306396484,573.105529785,0.000000000,0.570868728,429735491.000000000,1751357949.000000000,0.029551592,0.561636506,-0.100841636,0.016867573,-0.177656683
1751357949.441956,441226573.000000000,1751357949.000000000,891.272338867,445.965087891,0.000000000,1022.044128418,445.909912109,0.000000000,1022.101501465,573.257385254,0.000000000,891.306396484,573.105529785,0.000000000,0.570868728,441226573.000000000,1751357949.000000000,0.029569660,0.561636140,-0.100841950,0.016877883,-0.177657339
1751357949.455323,454485881.000000000,1751357949.000000000,895.286315918,445.963836670,0.000000000,1018.009521484,445.912017822,0.000000000,1018.066467285,573.251708984,0.000000000,895.321166992,573.109069824,0.000000000,0.580703728,454485881.000000000,1751357949.000000000,0.029808961,0.571272467,-0.102776519,0.017307559,-0.178003878
1751357949.462907,462163542.000000000,1751357949.000000000,895.286315918,445.963836670,0.000000000,1018.009521484,445.912017822,0.000000000,1018.066467285,573.251708984,0.000000000,895.321166992,573.109069824,0.000000000,0.580703728,462163542.000000000,1751357949.000000000,0.029806216,0.571272529,-0.102776447,0.017305966,-0.178003738
1751357949.476422,475670453.000000000,1751357949.000000000,895.286315918,445.963836670,0.000000000,1018.009521484,445.912017822,0.000000000,1018.066467285,573.251708984,0.000000000,895.321166992,573.109069824,0.000000000,0.580703728,475670453.000000000,1751357949.000000000,0.029806216,0.571272529,-0.102776447,0.017305966,-0.178003738
1751357949.486900,486175790.000000000,1751357949.000000000,895.286315918,445.963836670,0.000000000,1018.009521484,445.912017822,0.000000000,1018.066467285,573.251708984,0.000000000,895.321166992,573.109069824,0.000000000,0.580703728,486175790.000000000,1751357949.000000000,0.029775513,0.571273178,-0.102775837,0.017288145,-0.178002505
1751357949.504828,503903967.000000000,1751357949.000000000,895.288024902,440.958343506,0.000000000,1018.012329102,440.898895264,0.000000000,1018.073730469,578.267089844,0.000000000,895.325683594,578.116577148,0.000000000,0.538338653,503903967.000000000,1751357949.000000000,0.029811873,0.529572327,-0.095405932,0.016046455,-0.178244587
1751357949.518708,517886893.000000000,1751357949.000000000,891.274047852,440.959777832,0.000000000,1022.046936035,440.896484375,0.000000000,1022.108764648,578.273071289,0.000000000,891.310852051,578.112854004,0.000000000,0.538313376,517886893.000000000,1751357949.000000000,0.029793634,0.529562922,-0.095317248,0.016035887,-0.178085479
1751357949.529731,528888374.000000000,1751357949.000000000,891.274047852,440.959777832,0.000000000,1022.046936035,440.896484375,0.000000000,1022.108764648,578.273071289,0.000000000,891.310852051,578.112854004,0.000000000,0.538313376,528888374.000000000,1751357949.000000000,0.029777815,0.529563225,-0.095316996,0.016027376,-0.178084919
1751357949.545791,544906393.000000000,1751357949.000000000,891.274047852,440.959777832,0.000000000,1022.046936035,440.896484375,0.000000000,1022.108764648,578.273071289,0.000000000,891.310852051,578.112854004,0.000000000,0.538313376,544906393.000000000,1751357949.000000000,0.029787789,0.529562055,-0.095322590,0.016032742,-0.178095536
1751357949.554307,553633546.000000000,1751357949.000000000,891.274047852,440.959777832,0.000000000,1022.046936035,440.896484375,0.000000000,1022.108764648,578.273071289,0.000000000,891.310852051,578.112854004,0.000000000,0.538313376,553633546.000000000,1751357949.000000000,0.029787789,0.529562055,-0.095322590,0.016032742,-0.178095536
1751357949.584577,583602343.000000000,1751357949.000000000,891.274047852,440.959777832,0.000000000,1022.046936035,440.896484375,0.000000000,1022.108764648,578.273071289,0.000000000,891.310852051,578.112854004,0.000000000,0.538313376,583602343.000000000,1751357949.000000000,0.029818764,0.529561463,-0.095323075,0.016049409,-0.178096617
