__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw
1751360370.500696,500373756.000000000,1751360370.000000000,4.000000000,0.359308567,-0.077455604,0.352837839,-0.061928337,-0.027802643,-0.006431828,-0.003160137,-0.018792587,-0.173745330
1751360370.550696,550325769.000000000,1751360370.000000000,4.000000000,0.359308567,-0.077455604,0.352837839,-0.061928337,-0.027802643,-0.006431828,-0.003160137,-0.018792587,-0.173745330
1751360370.600741,600413851.000000000,1751360370.000000000,4.000000000,0.359308567,-0.077455604,0.352837839,-0.061928337,-0.027802643,-0.006431828,-0.003160137,-0.018792587,-0.173745330
1751360370.650659,650327071.000000000,1751360370.000000000,4.000000000,0.359308567,-0.077455604,0.352837839,-0.061928337,-0.027802643,-0.006431828,-0.003160137,-0.018792587,-0.173745330
1751360370.700680,700369412.000000000,1751360370.000000000,4.000000000,0.359308567,-0.077455604,0.352837839,-0.061928337,-0.027802643,-0.006431828,-0.003160137,-0.018792587,-0.173745330
1751360370.750727,750393848.000000000,1751360370.000000000,4.000000000,0.359308567,-0.077455604,0.352837839,-0.061928337,-0.027802643,-0.006431828,-0.003160137,-0.018792587,-0.173745330
1751360370.800654,800278553.000000000,1751360370.000000000,4.000000000,0.359308567,-0.077455604,0.352837839,-0.061928337,-0.027802643,-0.006431828,-0.003160137,-0.018792587,-0.173745330
1751360370.850741,850338242.000000000,1751360370.000000000,4.000000000,0.359308567,-0.077455604,0.352837839,-0.061928337,-0.027802643,-0.006431828,-0.003160137,-0.018792587,-0.173745330
1751360370.900695,900327386.000000000,1751360370.000000000,4.000000000,0.359308567,-0.077455604,0.352837839,-0.061928337,-0.027802643,-0.006431828,-0.003160137,-0.018792587,-0.173745330
1751360370.950651,950309384.000000000,1751360370.000000000,4.000000000,0.359308567,-0.077455604,0.352837839,-0.061928337,-0.027802643,-0.006431828,-0.003160137,-0.018792587,-0.173745330
