__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw
1751351828.377716,377348720.000000000,1751351828.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351828.427695,427353259.000000000,1751351828.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351828.477658,477338075.000000000,1751351828.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351828.527787,527371854.000000000,1751351828.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351828.577688,577359349.000000000,1751351828.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351828.627861,627376930.000000000,1751351828.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351828.677665,677347055.000000000,1751351828.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351828.727862,727378665.000000000,1751351828.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351828.777808,777476848.000000000,1751351828.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351828.827684,827354397.000000000,1751351828.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351828.877699,877355563.000000000,1751351828.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351828.927751,927365263.000000000,1751351828.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351828.977667,977361146.000000000,1751351828.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.027692,27337030.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.077735,77343516.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.127821,127403472.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.178035,177404178.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.227692,227358590.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.277637,277327525.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.327888,327361835.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.377776,377352849.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.427685,427353482.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.477703,477314070.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.527609,527322122.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.577658,577340965.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.627767,627361339.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.677669,677356199.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.727675,727354090.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.777929,777400917.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.827678,827350805.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.877663,877352309.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.927705,927351639.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
1751351829.977639,977336165.000000000,1751351829.000000000,4.000000000,1.051152550,0.060181024,1.034254833,0.176753210,0.063221259,0.000589239,0.001331599,0.000345258,0.169263863
