__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw
1751355285.397363,396990885.000000000,1751355285.000000000,4.000000000,1.108058184,0.028239511,1.101899104,0.112394110,0.031286863,0.056746699,0.001782738,0.002055439,0.101648816
1751355285.447417,446983957.000000000,1751355285.000000000,4.000000000,1.108058184,0.028239511,1.101899104,0.112394110,0.031286863,0.056746699,0.001782738,0.002055439,0.101648816
1751355285.497272,496978895.000000000,1751355285.000000000,4.000000000,1.461789035,0.033274233,1.456505669,0.114251699,0.048630934,0.049591427,0.000653642,0.002271973,0.078282031
1751355285.547365,546994394.000000000,1751355285.000000000,4.000000000,1.394256358,0.037673368,1.388932594,0.109814984,0.052513908,0.043211307,0.000310068,0.002711182,0.078900168
1751355285.597220,596973815.000000000,1751355285.000000000,4.000000000,1.247807371,0.042095180,1.242407860,0.103385311,0.052511165,0.029759923,-0.000084971,0.002761064,0.083022387
1751355285.647526,646992050.000000000,1751355285.000000000,4.000000000,1.153526171,0.046013920,1.148123068,0.098085350,0.053059533,0.021164625,-0.000463689,0.002850461,0.085224109
1751355285.697352,696980602.000000000,1751355285.000000000,4.000000000,1.112512660,0.048694293,1.107047445,0.095906080,0.054151611,0.017387318,-0.000610431,0.002971230,0.086416553
1751355285.747266,746973681.000000000,1751355285.000000000,4.000000000,1.087872985,0.050377454,1.082373297,0.094523584,0.054781093,0.015107635,-0.000703717,0.003035352,0.087108932
1751355285.797256,796940372.000000000,1751355285.000000000,4.000000000,1.073029255,0.051516636,1.067512339,0.093574246,0.055254410,0.013710671,-0.000769015,0.003076188,0.087432883
1751355285.847400,846983746.000000000,1751355285.000000000,4.000000000,1.064374881,0.052729415,1.058785084,0.093386634,0.056097861,0.012879742,-0.000764236,0.003157329,0.087974030
1751355285.897263,896958829.000000000,1751355285.000000000,4.000000000,1.064834818,0.053840638,1.059072919,0.094625725,0.057303692,0.012836873,-0.000619492,0.003269315,0.089111074
1751355285.947383,947006708.000000000,1751355285.000000000,4.000000000,1.072818329,0.054440142,1.066922213,0.095960694,0.058375538,0.013474032,-0.000482510,0.003365807,0.089700246
1751355285.997366,996987479.000000000,1751355285.000000000,4.000000000,1.076562624,0.054795728,1.070546079,0.097168496,0.058961516,0.013737028,-0.000347175,0.003411970,0.090517328
1751355286.047369,46972533.000000000,1751355286.000000000,4.000000000,1.084173483,0.054823331,1.078057200,0.098465612,0.059408232,0.014332318,-0.000210445,0.003436539,0.091083446
1751355286.097305,96980179.000000000,1751355286.000000000,4.000000000,1.091712113,0.054725323,1.085517224,0.099608605,0.059714481,0.014923924,-0.000090313,0.003445155,0.091505167
1751355286.147417,146976518.000000000,1751355286.000000000,4.000000000,1.092596043,0.054277452,1.086388757,0.100060722,0.059274215,0.014933675,-0.000030624,0.003370275,0.091844848
1751355286.197209,196950990.000000000,1751355286.000000000,4.000000000,1.091465917,0.053943437,1.085256780,0.100261564,0.058848873,0.014759730,0.000007453,0.003295012,0.092123609
1751355286.247347,246964219.000000000,1751355286.000000000,4.000000000,1.090640561,0.053714138,1.084430376,0.100393957,0.058554651,0.014631302,0.000035409,0.003239770,0.092314466
1751355286.297252,296971952.000000000,1751355286.000000000,4.000000000,1.090094012,0.053544194,1.083881522,0.100509743,0.058340319,0.014510128,0.000062669,0.003187074,0.092466862
1751355286.347399,347005687.000000000,1751355286.000000000,4.000000000,1.089484591,0.053377557,1.083270601,0.100612122,0.058126415,0.014395992,0.000089209,0.003136869,0.092612414
1751355286.397270,397028553.000000000,1751355286.000000000,4.000000000,1.088751006,0.053190070,1.082535276,0.100725552,0.057883439,0.014262233,0.000121660,0.003077458,0.092778846
1751355286.447320,446985053.000000000,1751355286.000000000,4.000000000,1.088236322,0.052985708,1.082023744,0.100802944,0.057633995,0.014162205,0.000146578,0.003018086,0.092893367
1751355286.497198,496971727.000000000,1751355286.000000000,4.000000000,1.087822670,0.052598567,1.081625456,0.100864568,0.057191534,0.014069395,0.000169300,0.002921454,0.092983859
1751355286.547350,546997189.000000000,1751355286.000000000,4.000000000,1.087540651,0.052255628,1.081356709,0.100923786,0.056804260,0.013979988,0.000192597,0.002826688,0.093061125
1751355286.597287,596984546.000000000,1751355286.000000000,4.000000000,1.087903476,0.051934368,1.081728459,0.101035533,0.056474185,0.013949205,0.000221361,0.002735672,0.093131739
1751355286.647444,646989001.000000000,1751355286.000000000,4.000000000,1.088846486,0.051629351,1.082676538,0.101196362,0.056191466,0.013971816,0.000255522,0.002647133,0.093197919
1751355286.697486,696985346.000000000,1751355286.000000000,4.000000000,1.090889797,0.051335466,1.084718727,0.101451646,0.055976742,0.014097511,0.000297774,0.002565277,0.093256777
1751355286.747370,747005153.000000000,1751355286.000000000,4.000000000,1.092509651,0.051142768,1.086336753,0.101639640,0.055849614,0.014186194,0.000329832,0.002502677,0.093290234
1751355286.797229,796978415.000000000,1751355286.000000000,4.000000000,1.088682828,0.050811369,1.082517576,0.101629765,0.055293665,0.013755925,0.000409745,0.002365530,0.093608407
1751355286.847278,846956882.000000000,1751355286.000000000,4.000000000,1.089890116,0.050529506,1.083723976,0.101845511,0.055048177,0.013805416,0.000459602,0.002269047,0.093702149
1751355286.897271,897035684.000000000,1751355286.000000000,4.000000000,1.089410764,0.050049754,1.083254248,0.102007755,0.054501980,0.013699297,0.000529448,0.002102466,0.093891003
1751355286.947376,946993132.000000000,1751355286.000000000,4.000000000,1.091523739,0.049594725,1.085369337,0.102320121,0.054111631,0.013842872,0.000593501,0.001955430,0.093994375
1751355286.997260,996979071.000000000,1751355286.000000000,4.000000000,1.096264759,0.049162986,1.090105627,0.102780067,0.053873941,0.014229787,0.000648856,0.001821728,0.094006601
1751355287.047285,46983111.000000000,1751355287.000000000,4.000000000,1.100074271,0.048884015,1.093909065,0.103134859,0.053754632,0.014512640,0.000690939,0.001723370,0.094003146
1751355287.097252,96967658.000000000,1751355287.000000000,4.000000000,1.097697943,0.048736089,1.091550673,0.102947487,0.053476329,0.014225584,0.000686859,0.001644124,0.094034909
1751355287.147522,147006437.000000000,1751355287.000000000,4.000000000,1.101906429,0.048242912,1.095758606,0.103378673,0.053138557,0.014564308,0.000747152,0.001470514,0.094065956
1751355287.197132,196962666.000000000,1751355287.000000000,4.000000000,1.101315654,0.047864586,1.095186934,0.103368771,0.052693892,0.014449446,0.000764123,0.001315669,0.094105806
1751355287.247247,246984247.000000000,1751355287.000000000,4.000000000,1.100632027,0.047406610,1.094526039,0.103359491,0.052157692,0.014310028,0.000785222,0.001125623,0.094153890
1751355287.297281,296964539.000000000,1751355287.000000000,4.000000000,1.100200803,0.047023331,1.094113534,0.103357792,0.051716043,0.014201800,0.000801642,0.000964972,0.094187639
1751355287.347285,346947972.000000000,1751355287.000000000,4.000000000,1.099768139,0.046646252,1.093698973,0.103357282,0.051281460,0.014095167,0.000818503,0.000805340,0.094222668
1751355287.397257,396972302.000000000,1751355287.000000000,4.000000000,1.099144454,0.046187993,1.093097147,0.103352185,0.050749228,0.013965208,0.000839279,0.000611395,0.094269616
1751355287.447450,447145971.000000000,1751355287.000000000,4.000000000,1.099040219,0.046098128,1.092997107,0.103352476,0.050645755,0.013939587,0.000843429,0.000573256,0.094278457
1751355287.497188,496960159.000000000,1751355287.000000000,4.000000000,1.101418841,0.045728677,1.095380206,0.103588891,0.050348875,0.014059953,0.000879682,0.000422993,0.094288476
1751355287.547347,546989579.000000000,1751355287.000000000,4.000000000,1.100876361,0.045369612,1.094854285,0.103585381,0.049929200,0.013950390,0.000897579,0.000267754,0.094330322
1751355287.597464,597050896.000000000,1751355287.000000000,4.000000000,1.100535954,0.045044910,1.094527765,0.103597700,0.049556780,0.013842041,0.000916317,0.000130198,0.094369451
1751355287.647382,646992324.000000000,1751355287.000000000,4.000000000,1.100204933,0.044723310,1.094210157,0.103612386,0.049188405,0.013734282,0.000935425,-0.000005546,0.094409983
1751355287.697302,696991089.000000000,1751355287.000000000,4.000000000,1.101897265,0.044418204,1.095904736,0.103809549,0.048928205,0.013848995,0.000972045,-0.000127184,0.094443174
