__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw,/predictor/armor_predictions/predictions[1]/armor_id,/predictor/armor_predictions/predictions[1]/distance,/predictor/armor_predictions/predictions[1]/pitch,/predictor/armor_predictions/predictions[1]/position/x,/predictor/armor_predictions/predictions[1]/position/y,/predictor/armor_predictions/predictions[1]/position/z,/predictor/armor_predictions/predictions[1]/velocity/x,/predictor/armor_predictions/predictions[1]/velocity/y,/predictor/armor_predictions/predictions[1]/velocity/z,/predictor/armor_predictions/predictions[1]/yaw
1751354081.536706,536337008.000000000,1751354081.000000000,4.000000000,1.014806309,0.126339208,0.999312957,0.121880965,0.127869025,0.005113569,0.001583754,-0.000219452,0.121365343,,,,,,,,,,
1751354081.586712,586310239.000000000,1751354081.000000000,4.000000000,1.010261793,0.126360453,0.994847596,0.121232659,0.127317693,0.004090225,0.001373171,-0.000314717,0.121262643,,,,,,,,,,
1751354081.636864,636337627.000000000,1751354081.000000000,4.000000000,1.004212905,0.126421207,0.988903715,0.120338734,0.126615909,0.002779800,0.001105221,-0.000437329,0.121093646,,,,,,,,,,
1751354081.686717,686313400.000000000,1751354081.000000000,4.000000000,0.999870036,0.126451340,0.984636448,0.119709612,0.126098227,0.001835281,0.000912733,-0.000525504,0.120983715,,,,,,,,,,
1751354081.736543,736299714.000000000,1751354081.000000000,4.000000000,0.994211953,0.126489972,0.979077525,0.118885406,0.125422763,0.000619508,0.000663951,-0.000639562,0.120834384,,,,,,,,,,
1751354081.786501,786282007.000000000,1751354081.000000000,4.000000000,0.997356390,0.126570419,0.982250773,0.118543749,0.125899035,0.001317000,0.000365908,-0.000501907,0.120104964,,,,,,,,,,
1751354081.836609,836303787.000000000,1751354081.000000000,4.000000000,0.998599027,0.126777839,0.983510643,0.118173176,0.126261366,0.001585234,0.000128706,-0.000359952,0.119581177,,,,,,,,,,
1751354081.886592,886260951.000000000,1751354081.000000000,4.000000000,1.001652823,0.127184171,0.986538529,0.117932606,0.127051210,0.002225025,-0.000098499,-0.000078773,0.118977220,,,,,,,,,,
1751354081.936678,936360424.000000000,1751354081.000000000,4.000000000,1.004068042,0.127488497,0.988931842,0.117767587,0.127660651,0.002723273,-0.000259926,0.000132736,0.118527454,,,,,,,,,,
1751354081.986843,986350920.000000000,1751354081.000000000,4.000000000,1.005427649,0.127861531,0.990287765,0.117380769,0.128205521,0.002987764,-0.000490964,0.000343807,0.117981495,,,,,,,,,,
