__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw,/predictor/armor_predictions/predictions[1]/armor_id,/predictor/armor_predictions/predictions[1]/distance,/predictor/armor_predictions/predictions[1]/pitch,/predictor/armor_predictions/predictions[1]/position/x,/predictor/armor_predictions/predictions[1]/position/y,/predictor/armor_predictions/predictions[1]/position/z,/predictor/armor_predictions/predictions[1]/velocity/x,/predictor/armor_predictions/predictions[1]/velocity/y,/predictor/armor_predictions/predictions[1]/velocity/z,/predictor/armor_predictions/predictions[1]/yaw
1751360712.251135,250825117.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360712.301213,300836734.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360712.351126,350826566.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360712.401168,400837556.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360712.451138,450829933.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360712.501331,500949354.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360712.551172,550828066.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360712.601366,600910031.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360712.651317,650847716.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360712.701123,700829176.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360712.751144,750830178.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360712.801242,800841423.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360712.851282,850846967.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360712.901348,900970489.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360712.951147,950827870.000000000,1751360712.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360713.001244,854025.000000000,1751360713.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360713.051286,50893418.000000000,1751360713.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360713.101402,100859573.000000000,1751360713.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360713.151439,150919302.000000000,1751360713.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360713.201241,200849709.000000000,1751360713.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360713.251554,250973559.000000000,1751360713.000000000,4.000000000,0.522276913,-0.003336779,0.518784140,0.060275641,-0.001742720,0.005846348,0.053139252,-0.026926244,0.115667743,,,,,,,,,,
1751360713.301063,300801918.000000000,1751360713.000000000,4.000000000,0.821656663,-0.088316475,0.810186056,0.116043548,-0.072471524,0.037316910,0.012999290,-0.012343499,0.142263160,,,,,,,,,,
1751360713.351336,350838060.000000000,1751360713.000000000,4.000000000,0.735350583,-0.048923429,0.734043522,0.025047100,-0.035961523,0.027778903,0.001130738,-0.007583010,0.034108857,,,,,,,,,,
1751360713.401164,400824192.000000000,1751360713.000000000,4.000000000,0.697792319,-0.023073002,0.697603201,0.002173753,-0.016098735,0.023021087,-0.001824877,-0.004955040,0.003116020,,,,,,,,,,
1751360713.451036,450802167.000000000,1751360713.000000000,4.000000000,0.664337778,0.005248844,0.664278227,-0.008182948,0.003486989,0.018794294,-0.003132392,-0.002416822,-0.012317932,,,,,,,,,,
1751360713.501034,500811749.000000000,1751360713.000000000,4.000000000,0.644582697,0.018162834,0.644424379,-0.008186801,0.011706805,0.016252322,-0.003098189,-0.001343222,-0.012703369,,,,,,,,,,
1751360713.551379,550834433.000000000,1751360713.000000000,4.000000000,0.644582697,0.018162834,0.644424379,-0.008186801,0.011706805,0.016252322,-0.003098189,-0.001343222,-0.012703369,,,,,,,,,,
1751360713.601228,600836775.000000000,1751360713.000000000,4.000000000,0.634739103,0.026196614,0.634471115,-0.007981575,0.016626114,0.014868766,-0.003021517,-0.000679024,-0.012579224,,,,,,,,,,
1751360713.651142,650821473.000000000,1751360713.000000000,4.000000000,0.619515945,0.037115124,0.619042776,-0.007589012,0.022988132,0.012895374,-0.002921453,0.000187669,-0.012258655,,,,,,,,,,
1751360713.701444,700913328.000000000,1751360713.000000000,4.000000000,0.613783500,0.043641908,0.613150545,-0.007715131,0.026778181,0.012116690,-0.002912375,0.000721177,-0.012582104,,,,,,,,,,
1751360713.751332,750818046.000000000,1751360713.000000000,4.000000000,0.610306496,0.047451134,0.609569746,-0.007791484,0.028948869,0.011620994,-0.002898002,0.001038670,-0.012781245,,,,,,,,,,
1751360713.801156,800832096.000000000,1751360713.000000000,4.000000000,0.606493798,0.051446209,0.605640082,-0.007881862,0.031188045,0.011051902,-0.002871252,0.001385999,-0.013013368,,,,,,,,,,
1751360713.851128,850824970.000000000,1751360713.000000000,4.000000000,0.603154311,0.054548270,0.602205307,-0.007904872,0.032884710,0.010565381,-0.002838484,0.001671979,-0.013125787,,,,,,,,,,
1751360713.901211,900829937.000000000,1751360713.000000000,4.000000000,0.600426239,0.056351919,0.599420855,-0.007918317,0.033817266,0.010168119,-0.002807091,0.001835249,-0.013209178,,,,,,,,,,
1751360713.951119,950821679.000000000,1751360713.000000000,4.000000000,0.598938941,0.057263929,0.597903748,-0.007995240,0.034278856,0.009908851,-0.002781059,0.001911949,-0.013371323,,,,,,,,,,
1751360714.001386,1029820.000000000,1751360714.000000000,4.000000000,0.596875845,0.058246429,0.595809891,-0.008002959,0.034746232,0.009592879,-0.002742136,0.002003837,-0.013431261,,,,,,,,,,
1751360714.051114,50828434.000000000,1751360714.000000000,4.000000000,0.594589123,0.059254344,0.593491706,-0.007998680,0.035211375,0.009239860,-0.002690024,0.002102107,-0.013476507,,,,,,,,,,
1751360714.101137,100822065.000000000,1751360714.000000000,4.000000000,0.589627939,0.060129782,0.588503242,-0.008339915,0.035432839,0.008550924,-0.002751627,0.002153044,-0.014170451,,,,,,,,,,
1751360714.151225,150896158.000000000,1751360714.000000000,4.000000000,0.585215231,0.060891743,0.584066765,-0.008637792,0.035612758,0.007928034,-0.002804014,0.002196168,-0.014787971,,,,,,,,,,
1751360714.201343,200958055.000000000,1751360714.000000000,4.000000000,0.582235465,0.061416642,0.581070345,-0.008848432,0.035736471,0.007495140,-0.002837856,0.002225177,-0.015226638,,,,,,,,,,
1751360714.251151,250833614.000000000,1751360714.000000000,4.000000000,0.577682020,0.062187783,0.576492969,-0.009134978,0.035901613,0.006828133,-0.002882078,0.002270099,-0.015844449,,,,,,,,,,
1751360714.301228,300871390.000000000,1751360714.000000000,4.000000000,0.575414542,0.062679705,0.574207568,-0.009404869,0.036043202,0.006478601,-0.002952094,0.002308942,-0.016377401,,,,,,,,,,
1751360714.351069,350810633.000000000,1751360714.000000000,4.000000000,0.573650192,0.062886456,0.572432504,-0.009792503,0.036051055,0.006187457,-0.003074170,0.002272924,-0.017105157,,,,,,,,,,
1751360714.401355,400859376.000000000,1751360714.000000000,4.000000000,0.574421048,0.062811544,0.573198350,-0.010154639,0.036056553,0.006268575,-0.003231269,0.002234808,-0.017713898,,,,,,,,,,
1751360714.451328,450836769.000000000,1751360714.000000000,4.000000000,0.573851587,0.062873318,0.572620135,-0.010572460,0.036056187,0.006131174,-0.003368531,0.002176246,-0.018461207,,,,,,,,,,
