__time,/detected_data/armor[0]/conf_color,/detected_data/armor[0]/conf_number,/detected_data/armor[0]/corners[0]/x,/detected_data/armor[0]/corners[0]/y,/detected_data/armor[0]/corners[0]/z,/detected_data/armor[0]/corners[1]/x,/detected_data/armor[0]/corners[1]/y,/detected_data/armor[0]/corners[1]/z,/detected_data/armor[0]/corners[2]/x,/detected_data/armor[0]/corners[2]/y,/detected_data/armor[0]/corners[2]/z,/detected_data/armor[0]/corners[3]/x,/detected_data/armor[0]/corners[3]/y,/detected_data/armor[0]/corners[3]/z,/detected_data/armor[0]/header/stamp/nanosec,/detected_data/armor[0]/header/stamp/sec,/detected_data/armor[0]/light_corners[0]/x,/detected_data/armor[0]/light_corners[0]/y,/detected_data/armor[0]/light_corners[0]/z,/detected_data/armor[0]/light_corners[1]/x,/detected_data/armor[0]/light_corners[1]/y,/detected_data/armor[0]/light_corners[1]/z,/detected_data/armor[0]/light_corners[2]/x,/detected_data/armor[0]/light_corners[2]/y,/detected_data/armor[0]/light_corners[2]/z,/detected_data/armor[0]/light_corners[3]/x,/detected_data/armor[0]/light_corners[3]/y,/detected_data/armor[0]/light_corners[3]/z,/detected_data/armor[0]/number,/detected_data/armor[0]/thread_id,/detected_data/armor_count,/detected_data/header/stamp/nanosec,/detected_data/header/stamp/sec,/detected_data/target_id
1752906052.406971,0.718131423,2.478932381,353.000000000,283.000000000,0.000000000,821.000000000,283.000000000,0.000000000,821.000000000,641.000000000,0.000000000,353.000000000,641.000000000,0.000000000,382559004.000000000,1752906052.000000000,388.231109619,407.954376221,0.000000000,792.968688965,387.357879639,0.000000000,805.578186035,527.072021484,0.000000000,378.368743896,548.263793945,0.000000000,3.000000000,0.000000000,1.000000000,382559004.000000000,1752906052.000000000,3.000000000
1752906052.422499,0.714438140,2.507356167,353.000000000,283.000000000,0.000000000,821.000000000,283.000000000,0.000000000,821.000000000,641.000000000,0.000000000,353.000000000,641.000000000,0.000000000,393669480.000000000,1752906052.000000000,388.269531250,407.978149414,0.000000000,792.956909180,387.418365479,0.000000000,805.023742676,526.724426270,0.000000000,378.362121582,548.215454102,0.000000000,3.000000000,0.000000000,1.000000000,393669480.000000000,1752906052.000000000,3.000000000
1752906052.480839,0.716239870,2.404613972,353.000000000,283.000000000,0.000000000,821.000000000,283.000000000,0.000000000,821.000000000,641.000000000,0.000000000,353.000000000,641.000000000,0.000000000,449211293.000000000,1752906052.000000000,388.233062744,407.972808838,0.000000000,791.030395508,388.523040771,0.000000000,806.113220215,527.318786621,0.000000000,378.416503906,548.224365234,0.000000000,3.000000000,0.000000000,1.000000000,449211293.000000000,1752906052.000000000,3.000000000
1752906052.504101,0.714574933,2.597597122,353.000000000,283.000000000,0.000000000,821.000000000,283.000000000,0.000000000,821.000000000,641.000000000,0.000000000,353.000000000,641.000000000,0.000000000,460293435.000000000,1752906052.000000000,388.694030762,408.085845947,0.000000000,792.937683105,387.438232422,0.000000000,805.031250000,526.737548828,0.000000000,378.407836914,548.233642578,0.000000000,3.000000000,0.000000000,1.000000000,460293435.000000000,1752906052.000000000,3.000000000
1752906052.516550,0.715907395,2.307524920,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,471487130.000000000,1752906052.000000000,388.661773682,408.101745605,0.000000000,792.930419922,387.412780762,0.000000000,806.001708984,526.425170898,0.000000000,380.400970459,547.249938965,0.000000000,3.000000000,0.000000000,1.000000000,471487130.000000000,1752906052.000000000,3.000000000
1752906052.526763,0.714800596,2.316712618,353.000000000,283.000000000,0.000000000,821.000000000,283.000000000,0.000000000,821.000000000,641.000000000,0.000000000,353.000000000,641.000000000,0.000000000,482844683.000000000,1752906052.000000000,388.686096191,408.133209229,0.000000000,792.944335938,387.433319092,0.000000000,805.041381836,526.739440918,0.000000000,378.409149170,548.180664063,0.000000000,3.000000000,0.000000000,1.000000000,482844683.000000000,1752906052.000000000,3.000000000
1752906052.536499,0.715265214,2.292530537,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,494058696.000000000,1752906052.000000000,388.681091309,408.083557129,0.000000000,791.457214355,388.485382080,0.000000000,805.763610840,527.129943848,0.000000000,380.425567627,547.223083496,0.000000000,3.000000000,0.000000000,1.000000000,494058696.000000000,1752906052.000000000,3.000000000
1752906052.544760,0.715717316,2.221509218,353.000000000,283.000000000,0.000000000,821.000000000,283.000000000,0.000000000,821.000000000,641.000000000,0.000000000,353.000000000,641.000000000,0.000000000,505174209.000000000,1752906052.000000000,388.255126953,407.938873291,0.000000000,791.463989258,388.452392578,0.000000000,806.126586914,527.336669922,0.000000000,378.409576416,548.234680176,0.000000000,3.000000000,0.000000000,1.000000000,505174209.000000000,1752906052.000000000,3.000000000
1752906052.558490,0.714642942,2.197558880,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,515911794.000000000,1752906052.000000000,388.222412109,407.943542480,0.000000000,792.465942383,387.476623535,0.000000000,805.136352539,526.841918945,0.000000000,380.406921387,547.322387695,0.000000000,3.000000000,0.000000000,1.000000000,515911794.000000000,1752906052.000000000,3.000000000
1752906052.567895,0.715460479,2.260040522,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,527102127.000000000,1752906052.000000000,388.228607178,407.945983887,0.000000000,791.454711914,388.493713379,0.000000000,805.132751465,526.829589844,0.000000000,380.417480469,547.247924805,0.000000000,3.000000000,0.000000000,1.000000000,527102127.000000000,1752906052.000000000,3.000000000
