__time,/pnp_solver/targets/header/stamp/nanosec,/pnp_solver/targets/header/stamp/sec,/pnp_solver/targets/targets[0]/corners[0]/x,/pnp_solver/targets/targets[0]/corners[0]/y,/pnp_solver/targets/targets[0]/corners[0]/z,/pnp_solver/targets/targets[0]/corners[1]/x,/pnp_solver/targets/targets[0]/corners[1]/y,/pnp_solver/targets/targets[0]/corners[1]/z,/pnp_solver/targets/targets[0]/corners[2]/x,/pnp_solver/targets/targets[0]/corners[2]/y,/pnp_solver/targets/targets[0]/corners[2]/z,/pnp_solver/targets/targets[0]/corners[3]/x,/pnp_solver/targets/targets[0]/corners[3]/y,/pnp_solver/targets/targets[0]/corners[3]/z,/pnp_solver/targets/targets[0]/distance,/pnp_solver/targets/targets[0]/header/stamp/nanosec,/pnp_solver/targets/targets[0]/header/stamp/sec,/pnp_solver/targets/targets[0]/pitch,/pnp_solver/targets/targets[0]/position/x,/pnp_solver/targets/targets[0]/position/y,/pnp_solver/targets/targets[0]/position/z,/pnp_solver/targets/targets[0]/roll,/pnp_solver/targets/targets[0]/yaw,/pnp_solver/targets/targets[0]/yaw_self
1752814863.874512,815658936.000000000,1752814863.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,815658936.000000000,1752814863.000000000,-0.291611978,0.407259187,-0.020650895,-0.122403707,0.000000000,-0.050663617,-0.037911545
1752814863.890617,826825341.000000000,1752814863.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,826825341.000000000,1752814863.000000000,-0.291601180,0.407260276,-0.020655521,-0.122399303,0.000000000,-0.050674810,-0.037911545
1752814863.909826,837862796.000000000,1752814863.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,837862796.000000000,1752814863.000000000,-0.291590693,0.407261620,-0.020654358,-0.122395027,0.000000000,-0.050671795,-0.037911545
1752814863.930136,860108243.000000000,1752814863.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,860108243.000000000,1752814863.000000000,-0.291598918,0.407260666,-0.020653304,-0.122398381,0.000000000,-0.050669331,-0.037911545
1752814863.944575,871359392.000000000,1752814863.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,871359392.000000000,1752814863.000000000,-0.291590079,0.407261666,-0.020654934,-0.122394777,0.000000000,-0.050673201,-0.037911545
1752814863.962376,882413793.000000000,1752814863.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,882413793.000000000,1752814863.000000000,-0.297535823,0.406660910,-0.020982781,-0.124863705,0.000000000,-0.051552017,-0.038082128
1752814863.978827,893536109.000000000,1752814863.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,893536109.000000000,1752814863.000000000,-0.291611327,0.407259032,-0.020655531,-0.122403441,0.000000000,-0.050674990,-0.037911545
1752814863.994723,915751097.000000000,1752814863.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,915751097.000000000,1752814863.000000000,-0.291617005,0.407258458,-0.020653134,-0.122405756,0.000000000,-0.050669190,-0.037911545
1752814864.012257,937920666.000000000,1752814863.000000000,465.932861328,441.149932861,0.000000000,1049.790405273,442.595184326,0.000000000,1053.702636719,939.431213379,0.000000000,464.827087402,937.020751953,0.000000000,0.409006161,937920666.000000000,1752814863.000000000,-0.293885028,0.390974117,-0.019666433,-0.118477414,0.000000000,-0.050258752,-0.036897888
1752814864.031641,949029942.000000000,1752814863.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,949029942.000000000,1752814863.000000000,-0.297568319,0.406657278,-0.020974432,-0.124876937,0.000000000,-0.051532000,-0.038082128
1752814864.047072,971398704.000000000,1752814863.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,971398704.000000000,1752814863.000000000,-0.297577474,0.406656150,-0.020974091,-0.124880665,0.000000000,-0.051531306,-0.038082128
1752814864.063858,982378508.000000000,1752814863.000000000,465.932861328,441.149932861,0.000000000,1049.790405273,442.595184326,0.000000000,1053.702636719,939.431213379,0.000000000,464.827087402,937.020751953,0.000000000,0.409006161,982378508.000000000,1752814863.000000000,-0.293920430,0.390969831,-0.019668162,-0.118491273,0.000000000,-0.050263714,-0.036897888
1752814864.083678,993607781.000000000,1752814863.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,993607781.000000000,1752814863.000000000,-0.297571558,0.406656603,-0.020979650,-0.124878256,0.000000000,-0.051544881,-0.038082128
1752814864.098903,15866008.000000000,1752814864.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,15866008.000000000,1752814864.000000000,-0.297547448,0.406659607,-0.020979856,-0.124868439,0.000000000,-0.051545007,-0.038082128
1752814864.117815,27062778.000000000,1752814864.000000000,465.920318604,447.159545898,0.000000000,1049.830932617,448.634887695,0.000000000,1053.996093750,964.262756348,0.000000000,464.809295654,961.697753906,0.000000000,0.409335343,27062778.000000000,1752814864.000000000,-0.300652136,0.390464708,-0.019912719,-0.121221273,0.000000000,-0.050953347,-0.037186567
1752814864.130600,38317750.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,38317750.000000000,1752814864.000000000,-0.291630835,0.407257317,-0.020642201,-0.122411396,0.000000000,-0.050642556,-0.037911545
1752814864.152509,71629496.000000000,1752814864.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,71629496.000000000,1752814864.000000000,-0.297599462,0.406653444,-0.020973245,-0.124889619,0.000000000,-0.051529573,-0.038082128
1752814864.167020,82469592.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,82469592.000000000,1752814864.000000000,-0.291703081,0.407248263,-0.020646106,-0.122440856,0.000000000,-0.050653244,-0.037911545
1752814864.186503,93755765.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,93755765.000000000,1752814864.000000000,-0.291703820,0.407248207,-0.020645415,-0.122441158,0.000000000,-0.050651558,-0.037911545
1752814864.202466,104751072.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,104751072.000000000,1752814864.000000000,-0.291701333,0.407248619,-0.020643312,-0.122440144,0.000000000,-0.050646356,-0.037911545
1752814864.216170,116450660.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,116450660.000000000,1752814864.000000000,-0.291701333,0.407248619,-0.020643312,-0.122440144,0.000000000,-0.050646356,-0.037911545
1752814864.233709,138114543.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,138114543.000000000,1752814864.000000000,-0.291722294,0.407245979,-0.020644678,-0.122448691,0.000000000,-0.050650030,-0.037911545
1752814864.252834,160301677.000000000,1752814864.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,160301677.000000000,1752814864.000000000,-0.297661485,0.406645691,-0.020973172,-0.124914874,0.000000000,-0.051530375,-0.038082128
1752814864.271904,171312815.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,171312815.000000000,1752814864.000000000,-0.291767104,0.407240412,-0.020646129,-0.122466963,0.000000000,-0.050654274,-0.037911545
1752814864.287949,193688155.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,193688155.000000000,1752814864.000000000,-0.291760123,0.407241387,-0.020643783,-0.122464116,0.000000000,-0.050648407,-0.037911545
1752814864.304191,204743384.000000000,1752814864.000000000,465.932861328,441.149932861,0.000000000,1049.790405273,442.595184326,0.000000000,1053.702636719,939.431213379,0.000000000,464.827087402,937.020751953,0.000000000,0.409006161,204743384.000000000,1752814864.000000000,-0.294027758,0.390957351,-0.019663067,-0.118533287,0.000000000,-0.050252316,-0.036897888
1752814864.320689,215755685.000000000,1752814864.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,215755685.000000000,1752814864.000000000,-0.297689763,0.406642281,-0.020970698,-0.124926388,0.000000000,-0.051524738,-0.038082128
1752814864.334412,238083550.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,238083550.000000000,1752814864.000000000,-0.291780347,0.407239102,-0.020639926,-0.122472363,0.000000000,-0.050639244,-0.037911545
1752814864.355595,260303474.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,260303474.000000000,1752814864.000000000,-0.291787306,0.407238282,-0.020639259,-0.122475200,0.000000000,-0.050637713,-0.037911545
1752814864.372773,271267047.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,271267047.000000000,1752814864.000000000,-0.291780985,0.407239054,-0.020639331,-0.122472623,0.000000000,-0.050637793,-0.037911545
1752814864.389411,282560339.000000000,1752814864.000000000,465.932861328,441.149932861,0.000000000,1049.790405273,442.595184326,0.000000000,1053.702636719,939.431213379,0.000000000,464.827087402,937.020751953,0.000000000,0.409006161,282560339.000000000,1752814864.000000000,-0.294056985,0.390954198,-0.019656783,-0.118544728,0.000000000,-0.050236688,-0.036897888
1752814864.406436,304626273.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,304626273.000000000,1752814864.000000000,-0.291802892,0.407236396,-0.020638757,-0.122481556,0.000000000,-0.050636718,-0.037911545
1752814864.425045,315961268.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,315961268.000000000,1752814864.000000000,-0.291831899,0.407232760,-0.020640322,-0.122493383,0.000000000,-0.050641001,-0.037911545
1752814864.440129,338306370.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,338306370.000000000,1752814864.000000000,-0.291850497,0.407230504,-0.020639810,-0.122500967,0.000000000,-0.050640027,-0.037911545
1752814864.453177,349055026.000000000,1752814864.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,349055026.000000000,1752814864.000000000,-0.297811047,0.406626884,-0.020975016,-0.124975772,0.000000000,-0.051537276,-0.038082128
1752814864.473905,405001372.000000000,1752814864.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,405001372.000000000,1752814864.000000000,-0.297772317,0.406631769,-0.020974274,-0.124960002,0.000000000,-0.051534840,-0.038082128
1752814864.493247,415893872.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,415893872.000000000,1752814864.000000000,-0.291846405,0.407230629,-0.020647251,-0.122499299,0.000000000,-0.050658237,-0.037911545
1752814864.507785,426969279.000000000,1752814864.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,426969279.000000000,1752814864.000000000,-0.297789092,0.406629357,-0.020980343,-0.124966832,0.000000000,-0.051550029,-0.038082128
1752814864.524152,449517284.000000000,1752814864.000000000,465.932861328,441.149932861,0.000000000,1049.790405273,442.595184326,0.000000000,1053.702636719,939.431213379,0.000000000,464.827087402,937.020751953,0.000000000,0.409006161,449517284.000000000,1752814864.000000000,-0.294133575,0.390944309,-0.019672625,-0.118574709,0.000000000,-0.050278378,-0.036897888
1752814864.541068,471623880.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,471623880.000000000,1752814864.000000000,-0.291889011,0.407224987,-0.020655444,-0.122516671,0.000000000,-0.050679005,-0.037911545
1752814864.555890,482586258.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,482586258.000000000,1752814864.000000000,-0.291903227,0.407223202,-0.020656255,-0.122522468,0.000000000,-0.050681214,-0.037911545
1752814864.571634,493655690.000000000,1752814864.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,493655690.000000000,1752814864.000000000,-0.297835629,0.406623358,-0.020983723,-0.124985781,0.000000000,-0.051559078,-0.038082128
1752814864.587657,515900770.000000000,1752814864.000000000,465.932861328,441.149932861,0.000000000,1049.790405273,442.595184326,0.000000000,1053.702636719,939.431213379,0.000000000,464.827087402,937.020751953,0.000000000,0.409006161,515900770.000000000,1752814864.000000000,-0.294181097,0.390938484,-0.019676255,-0.118593311,0.000000000,-0.050288388,-0.036897888
1752814864.604267,527156105.000000000,1752814864.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,527156105.000000000,1752814864.000000000,-0.297826621,0.406624507,-0.020983320,-0.124982113,0.000000000,-0.051557944,-0.038082128
1752814864.624681,549272967.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,549272967.000000000,1752814864.000000000,-0.291912565,0.407222058,-0.020656231,-0.122526275,0.000000000,-0.050681297,-0.037911545
1752814864.639533,560364324.000000000,1752814864.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,560364324.000000000,1752814864.000000000,-0.297847364,0.406621931,-0.020982916,-0.124990559,0.000000000,-0.051557279,-0.038082128
1752814864.653056,571513230.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,571513230.000000000,1752814864.000000000,-0.291938401,0.407218917,-0.020655659,-0.122536810,0.000000000,-0.050680287,-0.037911545
1752814864.667662,582715281.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,582715281.000000000,1752814864.000000000,-0.291938401,0.407218917,-0.020655659,-0.122536810,0.000000000,-0.050680287,-0.037911545
1752814864.685837,615725575.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,615725575.000000000,1752814864.000000000,-0.291942963,0.407218803,-0.020646878,-0.122538670,0.000000000,-0.050658792,-0.037911545
1752814864.704266,626836879.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,626836879.000000000,1752814864.000000000,-0.291894650,0.407224656,-0.020648330,-0.122518971,0.000000000,-0.050661621,-0.037911545
1752814864.722526,638205815.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,638205815.000000000,1752814864.000000000,-0.291930556,0.407220292,-0.020647528,-0.122533611,0.000000000,-0.050660200,-0.037911545
1752814864.739591,649408381.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,649408381.000000000,1752814864.000000000,-0.291964119,0.407215606,-0.020658725,-0.122547296,0.000000000,-0.050688208,-0.037911545
1752814864.756804,671386585.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,671386585.000000000,1752814864.000000000,-0.291982720,0.407213214,-0.020660891,-0.122554880,0.000000000,-0.050693810,-0.037911545
1752814864.775330,704739756.000000000,1752814864.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,704739756.000000000,1752814864.000000000,-0.297888527,0.406616610,-0.020986196,-0.125007319,0.000000000,-0.051565998,-0.038082128
1752814864.792446,715728815.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,715728815.000000000,1752814864.000000000,-0.291946226,0.407217707,-0.020660589,-0.122540001,0.000000000,-0.050692512,-0.037911545
1752814864.808540,726939687.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,726939687.000000000,1752814864.000000000,-0.291946226,0.407217707,-0.020660589,-0.122540001,0.000000000,-0.050692512,-0.037911545
1752814864.827556,738242940.000000000,1752814864.000000000,477.934692383,447.135284424,0.000000000,1038.710327148,448.560821533,0.000000000,1042.773559570,964.123046875,0.000000000,476.945190430,961.690856934,0.000000000,0.425917834,738242940.000000000,1752814864.000000000,-0.297861035,0.406619901,-0.020989102,-0.124996125,0.000000000,-0.051572711,-0.038082128
1752814864.845753,749086998.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,749086998.000000000,1752814864.000000000,-0.291935008,0.407219085,-0.020660548,-0.122535426,0.000000000,-0.050692241,-0.037911545
1752814864.862910,771477660.000000000,1752814864.000000000,465.932861328,441.149932861,0.000000000,1049.790405273,442.595184326,0.000000000,1053.702636719,939.431213379,0.000000000,464.827087402,937.020751953,0.000000000,0.409006161,771477660.000000000,1752814864.000000000,-0.294233669,0.390932019,-0.019680668,-0.118613889,0.000000000,-0.050300477,-0.036897888
1752814864.879132,782571768.000000000,1752814864.000000000,477.946105957,441.126129150,0.000000000,1038.670654297,442.521759033,0.000000000,1042.498046875,939.308471680,0.000000000,476.958587646,937.011962891,0.000000000,0.425759144,782571768.000000000,1752814864.000000000,-0.292000851,0.407210937,-0.020661904,-0.122562273,0.000000000,-0.050696574,-0.037911545
