__time,/pnp_solver/targets/header/stamp/nanosec,/pnp_solver/targets/header/stamp/sec,/pnp_solver/targets/targets[0]/corners[0]/x,/pnp_solver/targets/targets[0]/corners[0]/y,/pnp_solver/targets/targets[0]/corners[0]/z,/pnp_solver/targets/targets[0]/corners[1]/x,/pnp_solver/targets/targets[0]/corners[1]/y,/pnp_solver/targets/targets[0]/corners[1]/z,/pnp_solver/targets/targets[0]/corners[2]/x,/pnp_solver/targets/targets[0]/corners[2]/y,/pnp_solver/targets/targets[0]/corners[2]/z,/pnp_solver/targets/targets[0]/corners[3]/x,/pnp_solver/targets/targets[0]/corners[3]/y,/pnp_solver/targets/targets[0]/corners[3]/z,/pnp_solver/targets/targets[0]/distance,/pnp_solver/targets/targets[0]/header/stamp/nanosec,/pnp_solver/targets/targets[0]/header/stamp/sec,/pnp_solver/targets/targets[0]/pitch,/pnp_solver/targets/targets[0]/position/x,/pnp_solver/targets/targets[0]/position/y,/pnp_solver/targets/targets[0]/position/z,/pnp_solver/targets/targets[0]/roll,/pnp_solver/targets/targets[0]/yaw,/pnp_solver/targets/targets[0]/yaw_self
1752815417.051836,18884536.000000000,1752815417.000000000,436.051971436,368.211303711,0.000000000,857.631286621,368.388122559,0.000000000,859.338562012,701.422790527,0.000000000,435.058288574,700.637695313,0.000000000,0.557191058,18884536.000000000,1752815417.000000000,-0.210384642,0.544903532,-0.000195916,-0.116361211,0.000000000,-0.000359543,0.029162911
1752815417.063496,29936066.000000000,1752815417.000000000,436.051971436,368.211303711,0.000000000,857.631286621,368.388122559,0.000000000,859.338562012,701.422790527,0.000000000,435.058288574,700.637695313,0.000000000,0.557191058,29936066.000000000,1752815417.000000000,-0.210393244,0.544902531,-0.000195020,-0.116365898,0.000000000,-0.000357899,0.029162911
1752815417.071089,41079226.000000000,1752815417.000000000,436.051971436,368.211303711,0.000000000,857.631286621,368.388122559,0.000000000,859.338562012,701.422790527,0.000000000,435.058288574,700.637695313,0.000000000,0.557191058,41079226.000000000,1752815417.000000000,-0.210366745,0.544905615,-0.000195834,-0.116351458,0.000000000,-0.000359392,0.029162911
1752815417.084236,52363576.000000000,1752815417.000000000,431.047882080,368.221282959,0.000000000,843.540588379,368.347930908,0.000000000,845.179870605,701.333435059,0.000000000,430.024505615,700.654846191,0.000000000,0.569296916,52363576.000000000,1752815417.000000000,-0.210248288,0.556751261,0.002879205,-0.118813436,0.000000000,0.005171392,0.025232943
1752815417.092156,63388333.000000000,1752815417.000000000,436.051971436,368.211303711,0.000000000,857.631286621,368.388122559,0.000000000,859.338562012,701.422790527,0.000000000,435.058288574,700.637695313,0.000000000,0.557191058,63388333.000000000,1752815417.000000000,-0.210379429,0.544904139,-0.000195489,-0.116358370,0.000000000,-0.000358758,0.029162911
1752815417.108124,74627087.000000000,1752815417.000000000,436.051971436,368.211303711,0.000000000,857.631286621,368.388122559,0.000000000,859.338562012,701.422790527,0.000000000,435.058288574,700.637695313,0.000000000,0.557191058,74627087.000000000,1752815417.000000000,-0.210381009,0.544903955,-0.000196423,-0.116359231,0.000000000,-0.000360473,0.029162911
1752815417.119556,85699138.000000000,1752815417.000000000,431.047882080,368.221282959,0.000000000,843.540588379,368.347930908,0.000000000,845.179870605,701.333435059,0.000000000,430.024505615,700.654846191,0.000000000,0.569296916,85699138.000000000,1752815417.000000000,-0.210262593,0.556749564,0.002878604,-0.118821400,0.000000000,0.005170329,0.025232943
1752815417.132957,96730846.000000000,1752815417.000000000,436.059753418,364.216705322,0.000000000,857.619567871,364.384857178,0.000000000,859.267578125,690.219360352,0.000000000,435.095611572,689.444946289,0.000000000,0.557106047,96730846.000000000,1752815417.000000000,-0.206277532,0.545293673,-0.000054013,-0.114104846,0.000000000,-0.000099052,0.030107678
1752815417.142182,107847586.000000000,1752815417.000000000,436.051971436,368.211303711,0.000000000,857.631286621,368.388122559,0.000000000,859.338562012,701.422790527,0.000000000,435.058288574,700.637695313,0.000000000,0.557191058,107847586.000000000,1752815417.000000000,-0.210342787,0.544908404,-0.000191153,-0.116338404,0.000000000,-0.000350799,0.029162911
1752815417.155420,118984953.000000000,1752815417.000000000,436.051971436,368.211303711,0.000000000,857.631286621,368.388122559,0.000000000,859.338562012,701.422790527,0.000000000,435.058288574,700.637695313,0.000000000,0.557191058,118984953.000000000,1752815417.000000000,-0.210323582,0.544910638,-0.000191440,-0.116327939,0.000000000,-0.000351323,0.029162911
